n,cot_acc,self-refine_acc,sc5_acc,debate_acc,cot_calls,self-refine_calls,sc5_calls,debate_calls
1,0.0,0.5,0.5,0.75,1,4,6,10
2,0.0,0.25,0.25,0.375,2,8,12,20
3,0.05,0.1833,0.2167,0.3,3,17,18,30
4,0.0875,0.3875,0.4125,0.475,4,19,24,40
5,0.18,0.51,0.53,0.58,5,21,30,50
6,0.3167,0.5,0.5667,0.5917,6,30,36,60
7,0.35,0.5429,0.5357,0.5643,7,36,42,70
8,0.4313,0.6,0.5938,0.6062,8,38,48,80
9,0.4,0.5556,0.5278,0.5389,9,44,54,90
10,0.46,0.6,0.575,0.585,10,46,60,100
11,0.475,0.6364,0.6136,0.5886,11,52,66,110
12,0.5146,0.6458,0.5792,0.6229,12,58,72,120
13,0.475,0.5962,0.5731,0.6135,13,67,78,130
14,0.5125,0.625,0.6036,0.6411,14,69,84,140
15,0.545,0.65,0.63,0.665,15,71,90,150
16,0.5734,0.6719,0.6531,0.6859,16,73,96,160
17,0.5985,0.6912,0.6735,0.7044,17,75,102,170
18,0.5836,0.7083,0.6733,0.6931,18,81,108,180
19,0.5529,0.6711,0.6379,0.6566,19,85,114,190
20,0.5753,0.6875,0.6535,0.6737,20,87,120,200
21,0.5574,0.6548,0.6224,0.6417,21,91,126,210
22,0.5775,0.6705,0.6395,0.658,22,93,132,220
23,0.5915,0.6804,0.6552,0.6728,23,97,138,230
24,0.5773,0.6896,0.6696,0.6448,24,99,144,240
25,0.5742,0.682,0.668,0.641,25,108,150,250
26,0.5637,0.6923,0.6615,0.6471,26,112,156,260
27,0.5613,0.6667,0.637,0.6417,27,120,162,270
28,0.577,0.6786,0.65,0.6545,28,122,168,280
29,0.5916,0.6897,0.6621,0.6664,29,124,174,290
30,0.6002,0.6967,0.6733,0.6775,30,126,180,300
31,0.5808,0.6742,0.6532,0.6621,31,135,186,310
32,0.5908,0.6828,0.6578,0.668,32,137,192,320
33,0.5729,0.6621,0.6379,0.6477,33,141,198,330
34,0.5854,0.6721,0.6485,0.6581,34,143,204,340
35,0.5901,0.67,0.6514,0.6679,35,145,210,350
36,0.5968,0.6792,0.6417,0.6632,36,153,216,358
37,0.5928,0.6716,0.6378,0.6601,37,159,222,368
38,0.6036,0.6803,0.6474,0.6612,38,165,228,378
39,0.5894,0.6679,0.641,0.6545,39,167,234,388
40,0.5996,0.6762,0.65,0.6631,40,169,240,398
41,0.6094,0.6841,0.6573,0.6713,41,171,246,408
42,0.608,0.6917,0.6565,0.6792,42,175,252,418
43,0.6055,0.6756,0.6529,0.675,43,181,258,428
44,0.5962,0.667,0.6415,0.6665,44,185,264,438
45,0.6052,0.6522,0.6494,0.6739,45,193,270,448
46,0.6138,0.6598,0.6571,0.681,46,195,276,458
47,0.622,0.667,0.6644,0.6878,47,197,282,468
48,0.6195,0.674,0.6714,0.6943,48,199,288,478
49,0.6068,0.6602,0.6679,0.6903,49,208,294,488
50,0.6047,0.657,0.6645,0.6865,50,212,300,498
51,0.6125,0.6637,0.6711,0.6926,51,214,306,508
52,0.6199,0.6702,0.6774,0.6986,52,216,312,518
53,0.6271,0.6764,0.6835,0.7042,53,218,318,528
54,0.6201,0.6824,0.6801,0.7005,54,222,324,538
55,0.6179,0.6791,0.6677,0.6877,55,226,330,548
56,0.6096,0.6732,0.6629,0.6826,56,235,336,558
57,0.6006,0.6614,0.6513,0.6706,57,239,342,568
58,0.6075,0.6672,0.6573,0.6763,58,241,348,578
59,0.6057,0.6729,0.6631,0.6818,59,245,354,588
60,0.6022,0.67,0.6679,0.6813,60,247,360,598
61,0.6006,0.6697,0.6652,0.6783,61,256,366,608
62,0.599,0.6669,0.6625,0.6754,62,258,372,618
63,0.5926,0.6595,0.6536,0.6679,63,260,378,628
64,0.599,0.6648,0.659,0.673,64,262,384,638
65,0.593,0.67,0.6642,0.6781,65,266,390,648
66,0.5886,0.6667,0.6686,0.6822,66,275,396,658
67,0.5798,0.6642,0.666,0.6862,67,279,402,668
68,0.5713,0.6618,0.6636,0.6835,68,283,408,678
69,0.563,0.6536,0.6554,0.6736,69,287,414,688
70,0.5692,0.6586,0.6604,0.6782,70,289,420,698
71,0.5753,0.6634,0.6651,0.6827,71,291,426,708
72,0.5728,0.6618,0.6694,0.6867,72,293,432,718
73,0.5718,0.663,0.6671,0.6869,73,302,438,728
74,0.5776,0.6676,0.6716,0.6911,74,304,444,738
75,0.5833,0.6627,0.6759,0.6859,75,306,450,748
76,0.5887,0.6671,0.6802,0.6901,76,308,456,758
77,0.5915,0.6688,0.6818,0.6921,77,310,462,768
78,0.5865,0.6686,0.6807,0.6961,78,312,468,778
79,0.5791,0.6611,0.6725,0.6892,79,321,474,788
80,0.5718,0.6572,0.6678,0.6831,80,325,480,798
81,0.5648,0.6491,0.6596,0.687,81,329,486,808
82,0.5701,0.6534,0.6637,0.6908,82,331,492,818
83,0.5752,0.6576,0.6678,0.6945,83,333,498,828
84,0.5743,0.6605,0.6717,0.6982,84,335,504,838
85,0.5735,0.6586,0.6697,0.6958,85,341,510,848
86,0.5689,0.6553,0.666,0.6918,86,345,516,858
87,0.5624,0.6478,0.6583,0.6839,87,349,522,868
88,0.5673,0.6518,0.6622,0.6874,88,351,528,878
89,0.5699,0.6557,0.6638,0.691,89,359,534,888
90,0.5736,0.6596,0.6664,0.6944,90,361,540,898
91,0.5728,0.6605,0.6646,0.6923,91,370,546,908
92,0.5666,0.6534,0.6573,0.6847,92,374,552,918
93,0.5605,0.6571,0.661,0.6881,93,383,558,928
94,0.5652,0.6607,0.6646,0.6914,94,385,564,938
95,0.5697,0.6633,0.6655,0.6936,95,389,570,948
96,0.5674,0.6668,0.6685,0.6942,96,393,576,958
97,0.5668,0.6651,0.6668,0.6927,97,397,582,968
98,0.5661,0.6685,0.6676,0.6959,98,405,588,978
99,0.5604,0.6617,0.6609,0.6888,99,414,594,988
100,0.5647,0.6651,0.6643,0.692,100,418,600,998
